"","X","NETWORK","PI","YEAR_MONTH_DAY_TRANSECT","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","SAMPLING_METHOD","NOTES"
"3054",3695,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SDS","16","O",NA,1,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3055",3696,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SDS","24","I",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3056",3697,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SDS","32","O",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3057",3698,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SDS","40","I",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3058",3699,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SDS","8","I",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3059",3700,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SL","0","O",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3060",3701,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SL","16","O",NA,2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3061",3702,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SL","24","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3062",3703,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SL","32","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3063",3704,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SL","40","I",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3064",3705,"KEEN ONE","Byrnes","2017_8_17_South Pepperrell",2017,8,17,"SW Appledore","South Pepperrell","SL","8","I",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3065",3706,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","CABS","0","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3066",3707,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","CABS","16","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3067",3708,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","CABS","24","I",NA,2,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3068",3709,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","CABS","32","O",NA,1,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3069",3710,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","CABS","40","I",NA,1,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3070",3711,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","CABS","8","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans","juvenile","Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3071",3712,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","DEAC","0","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3072",3713,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","DEAC","16","O",NA,7,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3073",3714,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","DEAC","24","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3074",3715,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","DEAC","32","O",NA,2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3075",3716,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","DEAC","40","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3076",3717,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","DEAC","8","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3077",3718,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","HESA","0","O",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"3078",3719,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","HESA","16","O",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"3079",3720,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","HESA","24","I",NA,4,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"3080",3721,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","HESA","32","O",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"3081",3722,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","HESA","40","I",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"3082",3723,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","HESA","8","I",NA,0,1,"Invertebrate","Echinoderms","Sea Stars",NA,"Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","Henricia sanguinolenta","keen_quads",NA
"3083",3730,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDL","0","O",NA,0,1,"Invertebrate","Echinoderms","Urchins",">20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3084",3731,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDL","16","O",NA,0,1,"Invertebrate","Echinoderms","Urchins",">20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3085",3732,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDL","24","I",NA,2,1,"Invertebrate","Echinoderms","Urchins",">20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3086",3733,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDL","32","O",NA,3,1,"Invertebrate","Echinoderms","Urchins",">20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3087",3734,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDL","40","I",NA,0,1,"Invertebrate","Echinoderms","Urchins",">20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3088",3735,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDL","8","I",NA,0,1,"Invertebrate","Echinoderms","Urchins",">20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3089",3736,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDS","0","O",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3090",3737,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDS","16","O",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3091",3738,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDS","24","I",NA,6,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3092",3739,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDS","32","O",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3093",3740,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDS","40","I",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3094",3741,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SDS","8","I",NA,0,1,"Invertebrate","Echinoderms","Urchins","juvenile <20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3095",3742,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SL","0","O",NA,4,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3096",3743,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SL","16","O",NA,12,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3097",3744,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SL","24","I",NA,2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3098",3745,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SL","32","O",NA,12,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3099",3746,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SL","40","I",NA,27,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3100",3747,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SL","8","I",NA,7,1,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3101",3748,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SLJ","0","O",NA,0,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3102",3749,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SLJ","16","O",NA,23,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3103",3750,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SLJ","24","I",NA,4,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3104",3751,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SLJ","32","O",NA,0,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3105",3752,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SLJ","40","I",NA,0,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3106",3753,"KEEN ONE","Byrnes","2018_8_28_Broad Cove",2018,8,28,"NE Appledore","Broad Cove","SLJ","8","I",NA,0,1,"Algae","Phaeophyta","Brown Algae","juvenile <10cm",NA,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima","keen_quads",NA
"3107",3754,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","AGCL","0","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"3108",3755,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","AGCL","16","O",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"3109",3756,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","AGCL","24","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"3110",3757,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","AGCL","32","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"3111",3758,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","AGCL","40","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"3112",3759,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","AGCL","8","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Shotgun Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Agarum","Agarum clathratum","keen_quads",NA
"3113",3760,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","CABO","0","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3114",3761,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","CABO","16","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3115",3762,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","CABO","24","I",NA,1,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3116",3763,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","CABO","32","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3117",3764,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","CABO","40","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3118",3765,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","CABO","8","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","keen_quads",NA
"3119",3766,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","DEAC","0","O",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3120",3767,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","DEAC","16","O",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3121",3768,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","DEAC","24","I",NA,12,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3122",3769,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","DEAC","32","O",NA,2,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3123",3770,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","DEAC","40","I",NA,0,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3124",3771,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","DEAC","8","I",NA,1,1,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata","keen_quads",NA
"3125",3772,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","HOAM","0","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"3126",3773,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","HOAM","16","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"3127",3774,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","HOAM","24","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"3128",3775,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","HOAM","32","O",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"3129",3776,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","HOAM","40","I",NA,0,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"3130",3777,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","HOAM","8","I",NA,1,1,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","keen_quads",NA
"3131",3784,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","SDL","0","O",NA,1,1,"Invertebrate","Echinoderms","Urchins",">20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3132",3785,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","SDL","16","O",NA,0,1,"Invertebrate","Echinoderms","Urchins",">20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
"3133",3786,"KEEN ONE","Byrnes","2018_8_28_Broadway and 42nd",2018,8,28,"NE Appledore","Broadway and 42nd","SDL","24","I",NA,1,1,"Invertebrate","Echinoderms","Urchins",">20mm","Green Sea Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","keen_quads",NA
